600,400
1200,400
1800,400
2400,400
3000,400
3600,400
4200,400
4800,400
5400,400
6000,400
6600,400
7200,400
7800,400
8400,400
9000,400
9600,400
10200,400
10800,400
11400,400
12000,400
12600,400
13200,400
13800,400
14400,400
15000,400
15600,400
16200,400
16800,400
17400,400
18000,400
18600,400
19200,400
19800,400
20400,400
21000,400
21600,400
22200,400
22800,400
23400,400
24000,400
24600,400
25200,400
25800,400
26400,400
27000,399
27600,397
28200,393
28800,389
29400,387
30000,385
30600,383
31200,382
31800,381
32400,379
33000,378
33600,376
34200,374
34800,372
35400,372
36000,371
36600,367
37200,366
37800,365
38400,364
39000,361
39600,359
40200,358
40800,356
41400,355
42000,355
42600,352
43200,352
43800,351
44400,350
45000,349
45600,348
46200,345
46800,344
47400,341
48000,340
48600,338
49200,337
49800,337
50400,334
51000,334
51600,333
52200,333
52800,331
53400,329
54000,327
54600,324
55200,323
55800,320
56400,316
57000,313
57600,310
58200,308
58800,306
59400,304
60000,304
60600,298
61200,294
61800,291
62400,288
63000,283
63600,282
64200,279
64800,278
65400,275
66000,274
66600,271
67200,268
67800,267
68400,264
69000,260
69600,258
70200,256
70800,255
71400,254
72000,253
72600,251
73200,249
73800,244
74400,242
75000,241
75600,240
76200,236
76800,236
77400,235
78000,233
78600,233
79200,231
79800,230
80400,230
81000,228
81600,225
82200,222
82800,217
83400,214
84000,209
84600,206
85200,202
85800,199
86400,195
87000,190
87600,187
88200,186
88800,183
89400,180
90000,178
90600,175
91200,171
91800,170
92400,168
93000,163
93600,159
94200,153
94800,152
95400,152
96000,152
96600,152
97200,152
97800,152
98400,152
99000,147
99600,147
100200,143
100800,136
101400,136
102000,128
102600,122
103200,117
103800,115
104400,111
105000,108
105600,103
106200,94
106800,82
107400,77
108000,70
108600,60
109200,53
109800,39
110400,24
111000,15
111600,15
112200,15
112800,15
113400,15
114000,15
114600,15
115200,15
115800,15
116400,15
117000,15
117600,15
118200,15
118800,15
119400,15
120000,15
120600,15
121200,15
121800,15
122400,15
123000,15
123600,15
124200,15
124800,15
125400,15
126000,15
126600,15
127200,15
127800,15
128400,15
129000,15
129600,15
130200,15
130800,15
131400,15
132000,15
132600,15
133200,9
133800,9
134400,9
135000,9
135600,9
136200,9
136800,9
137400,9
138000,9
138600,9
139200,9
139800,9
140400,9
141000,9
